Nome;Gênero;Data Nascimento;Idade;Nível;Escolaridade;Área;Salário;Data Admissão;Data Demissão;Contrato;Motivo Demissão;PCD;Alimentação;Saúde;Odont;Transporte;Creche;Combustível;Benefícios;Mês_admissão;Mês_demissão;Status;Faixa_Idade;Tempo_dias;Faixa_dias
Maximo Woodson;Masculino;12/04/1972;52;Coordenador;Pós-graduação;TI;10000;17/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;258;177-269
Melva de Villier;Feminino;14/08/1989;35;Analista Sr;Ensino Técnico;Logística;5000;17/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;35-44;258;177-269
Pincus Rudman;Masculino;23/02/1961;63;Analista Sr;Pós-graduação;Administração;5000;17/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;55-64;258;177-269
Ashley Claxton;Feminino;20/06/1960;64;Estagiário;Ensino Técnico;Financeiro;1200;18/04/2019;;Estágio;;;200;200;200;200;;;800;4;-;;55-64;257;177-269
Millie Wilkins;Feminino;28/03/1979;45;Coordenador;Pós-graduação;Marketing;10000;18/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;257;177-269
Riannon Chappel;Feminino;07/10/1960;64;Supervisor;Ensino Médio;Vendas;7000;19/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;55-64;256;177-269
Archie McIleen;Masculino;13/07/1978;46;Gerente;Ensino Médio;Marketing;15000;19/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;256;177-269
Tootsie Smouten;Feminino;12/11/1982;42;Assistente;Ensino Superior;Operações;2500;20/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;35-44;255;177-269
Russell Paschke;Masculino;05/05/1967;57;Assistente;Ensino Médio;Produção;2500;20/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;55-64;255;177-269
Jonathon Poles;Masculino;17/10/1988;36;Estagiário;Ensino Médio;Logística;1200;21/04/2019;;Estágio;;Sim;200;200;200;200;;;800;4;-;;35-44;254;177-269
Brannon Quimby;Masculino;19/10/1962;62;Estagiário;Ensino Técnico;Financeiro;1200;21/04/2019;;Estágio;;Sim;200;200;200;200;;;800;4;-;;55-64;254;177-269
Eustacia Stirman;Feminino;18/09/1986;38;Supervisor;Ensino Técnico;TI;7000;22/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;253;177-269
Reagen McGavigan;Masculino;26/01/1978;46;Gerente;Ensino Superior;Recursos Humanos;15000;22/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;253;177-269
Scott Shawcross;Masculino;25/04/1974;50;Analista Jr;Ensino Técnico;Marketing;3500;23/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;252;177-269
Rinaldo Bullin;Masculino;09/07/1974;50;Analista Jr;Ensino Superior;Logística;3500;23/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;45-54;252;177-269
Dirk Woolger;Masculino;31/07/1979;45;Coordenador;Ensino Médio;Operações;10000;23/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;252;177-269
Christos Blackden;Masculino;02/09/1976;48;Gerente;Pós-graduação;Produção;15000;24/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;251;177-269
Terri-jo cornhill;Feminino;31/07/1981;43;Estagiário;Ensino Médio;Logística;1200;24/04/2019;;Estágio;;Sim;200;200;200;200;;;800;4;-;;35-44;251;177-269
Merrill Rasher;Masculino;29/06/1998;26;Analista Sr;Ensino Médio;Logística;5000;24/04/2019;17/06/2019;CLT;Demissão Involuntária;;600;600;600;600;500;500;3400;4;6;;24-34;54;1-85
Brion Dyka;Masculino;21/12/1991;33;Analista Sr;Ensino Médio;Financeiro;5000;25/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;24-34;250;177-269
Laureen Rapelli;Feminino;02/05/2000;24;Estagiário;Ensino Médio;Recursos Humanos;1200;25/04/2019;;Estágio;;;200;200;200;200;;;800;4;-;;24-34;250;177-269
Heriberto Danels;Masculino;10/06/1986;38;Gerente;Pós-graduação;Administração;15000;25/04/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;4;-;;35-44;250;177-269
Jo-anne MacCarter;Feminino;17/09/1984;40;Analista Sr;Pós-graduação;Financeiro;5000;25/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;35-44;250;177-269
Karolina Beggini;Feminino;23/12/1980;44;Supervisor;Ensino Médio;Financeiro;7000;26/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;249;177-269
Brady Huskinson;Masculino;31/12/1986;38;Coordenador;Ensino Médio;Administração;10000;26/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;249;177-269
Evyn Piccard;Masculino;12/01/1993;31;Assistente;Ensino Médio;Recursos Humanos;2500;26/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;24-34;249;177-269
Tori Maleney;Feminino;10/11/1973;51;Gerente;Pós-graduação;TI;15000;27/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;45-54;248;177-269
Rochette Muddle;Feminino;30/07/1967;57;Analista Sr;Ensino Técnico;Administração;5000;27/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;Licença;55-64;248;177-269
Koenraad Newvell;Masculino;31/12/1978;46;Analista Sr;Ensino Médio;Operações;5000;28/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;45-54;247;177-269
Rozella Valett;Feminino;24/08/1960;64;Estagiário;Ensino Técnico;Logística;1200;28/04/2019;16/06/2019;Estágio;Término de Contrato;;200;200;200;200;;;800;4;6;;55-64;49;1-85
Dori Lowder;Feminino;25/08/1996;28;Gerente;Mestrado;Vendas;15000;29/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;24-34;246;177-269
Allina Abramsky;Feminino;19/08/1985;39;Gerente;Pós-graduação;Financeiro;15000;29/04/2019;;CLT;;;1200;1200;1200;1200;;500;5300;4;-;;35-44;246;177-269
Ulrick Betts;Masculino;30/10/1992;32;Analista Jr;Ensino Técnico;Recursos Humanos;3500;29/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;24-34;246;177-269
Saba Muckersie;Feminino;07/10/1981;43;Analista Sr;Pós-graduação;TI;5000;30/04/2019;;CLT;;;600;600;600;600;;500;2900;4;-;;35-44;245;177-269
Bale Randalston;Masculino;11/04/1994;30;Estagiário;Ensino Técnico;Produção;1200;30/04/2019;;Estágio;;;200;200;200;200;;;800;4;-;;24-34;245;177-269
Elianore Worboy;Feminino;24/07/1988;36;Assistente;Ensino Médio;Marketing;2500;30/04/2019;;CLT;;;600;600;600;600;;;2400;4;-;;35-44;245;177-269
Delmar Lindborg;Masculino;27/05/1974;50;Coordenador;Mestrado;Financeiro;10000;01/05/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;5;-;;45-54;244;177-269
Frasco Victor;Masculino;09/11/1992;32;Assistente;Ensino Superior;Vendas;2500;01/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;24-34;244;177-269
Holly Rubega;Masculino;17/09/1999;25;Analista Jr;Ensino Técnico;Vendas;3500;01/05/2019;20/07/2019;CLT;Demissão Voluntária;;600;600;600;600;;;2400;5;7;;24-34;80;1-85
Alard Grigolashvill;Masculino;19/02/1970;54;Assistente;Ensino Médio;Logística;2500;02/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;45-54;243;177-269
Tobit Duiguid;Masculino;11/11/1965;59;Analista Sr;Ensino Superior;Operações;5000;02/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;55-64;243;177-269
Clerc Snoxell;Masculino;28/01/1966;58;Analista Jr;Pós-graduação;Financeiro;3500;02/05/2019;;CLT;;;600;600;600;600;500;;2900;5;-;;55-64;243;177-269
Chris Clemon;Masculino;21/04/1999;25;Analista Sr;Ensino Superior;Logística;5000;03/05/2019;02/07/2019;CLT;Demissão Voluntária;Sim;600;600;600;600;;500;2900;5;7;;24-34;60;1-85
Wright Gilligan;Masculino;17/03/1968;56;Assistente;Ensino Médio;Produção;2500;04/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;55-64;241;177-269
Birgitta Tidy;Feminino;27/11/1986;38;Assistente;Ensino Médio;Financeiro;2500;05/05/2019;;CLT;;;600;600;600;600;500;;2900;5;-;;35-44;240;177-269
Ware Duffett;Masculino;10/10/1998;26;Coordenador;Ensino Superior;Vendas;10000;05/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;240;177-269
Jessica Malt;Feminino;31/08/1963;61;Coordenador;Ensino Médio;TI;10000;05/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;240;177-269
Genevra MacGillivrie;Feminino;24/03/1995;29;Analista Sr;Pós-graduação;Recursos Humanos;5000;05/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;24-34;240;177-269
Danya Kevane;Masculino;09/03/1994;30;Analista Sr;Ensino Superior;Financeiro;5000;05/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;24-34;240;177-269
Rea Machen;Feminino;02/08/1968;56;Supervisor;Ensino Médio;Operações;7000;06/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;239;177-269
Vito Knott;Masculino;13/10/1969;55;Analista Sr;Ensino Médio;Produção;5000;06/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;55-64;239;177-269
Darcey Pozer;Feminino;25/11/1986;38;Coordenador;Ensino Técnico;Marketing;10000;07/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;238;177-269
Fletcher Verner;Masculino;04/04/1980;44;Supervisor;Ensino Médio;Logística;7000;07/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;238;177-269
Jessie Vassman;Feminino;12/04/1989;35;Analista Jr;Ensino Superior;Recursos Humanos;3500;07/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;35-44;238;177-269
Corinna Crewes;Feminino;12/02/1998;26;Analista Jr;Ensino Superior;Logística;3500;08/05/2019;;CLT;;Sim;600;600;600;600;;;2400;5;-;;24-34;237;177-269
Sigismund Mitchiner;Masculino;19/12/1974;50;Analista Sr;Ensino Médio;Logística;5000;08/05/2019;;CLT;;Sim;600;600;600;600;;500;2900;5;-;;45-54;237;177-269
Ignace Rutigliano;Masculino;10/08/1992;32;Supervisor;Ensino Técnico;Financeiro;7000;08/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;237;177-269
Edita Godridge;Feminino;23/06/1970;54;Coordenador;Mestrado;Financeiro;10000;09/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;45-54;236;177-269
Haze Studeart;Masculino;29/05/1965;59;Supervisor;Pós-graduação;Vendas;7000;09/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;236;177-269
Jaime Oliffe;Feminino;14/06/1960;64;Estagiário;Ensino Técnico;Vendas;1200;09/05/2019;;Estágio;;;200;200;200;200;500;;1300;5;-;;55-64;236;177-269
Buckie Rouchy;Masculino;14/02/1993;31;Gerente;Ensino Técnico;Logística;15000;10/05/2019;08/07/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;5;7;;24-34;59;1-85
Burty Ewbanche;Masculino;14/10/1993;31;Analista Jr;Ensino Médio;Vendas;3500;10/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;24-34;235;177-269
Maurice Langdon;Masculino;23/11/1999;25;Gerente;Pós-graduação;Produção;15000;10/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;235;177-269
Scott Roo;Masculino;27/03/1997;27;Supervisor;Pós-graduação;Produção;7000;11/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;234;177-269
Chico Bratcher;Masculino;09/08/1975;49;Gerente;Pós-graduação;Produção;15000;11/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;45-54;234;177-269
Massimiliano Sayward;Masculino;30/12/1961;63;Coordenador;Mestrado;TI;10000;11/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;234;177-269
Kort Spurier;Masculino;29/02/1980;44;Gerente;Ensino Técnico;Logística;15000;11/05/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;5;-;;35-44;234;177-269
Terri Perocci;Feminino;23/05/1984;40;Coordenador;Ensino Técnico;Operações;10000;13/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;232;177-269
Granthem Sedgebeer;Masculino;03/07/1972;52;Analista Sr;Ensino Técnico;Operações;5000;13/05/2019;;CLT;;Sim;600;600;600;600;;500;2900;5;-;;45-54;232;177-269
Maren Osban;Feminino;23/06/1976;48;Analista Jr;Ensino Médio;TI;3500;13/05/2019;06/09/2019;CLT;Demissão Involuntária;;600;600;600;600;;;2400;5;9;;45-54;116;86-176
Scott Pavolini;Masculino;15/12/1971;53;Coordenador;Pós-graduação;Vendas;10000;14/05/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;5;-;;45-54;231;177-269
Gunther Sterling;Masculino;29/01/1978;46;Analista Jr;Pós-graduação;Logística;3500;15/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;45-54;230;177-269
Elisabeth Seyfart;Feminino;17/02/1972;52;Analista Sr;Ensino Superior;Marketing;5000;15/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;45-54;230;177-269
Fulton Echallier;Masculino;17/09/1991;33;Analista Jr;Ensino Superior;Operações;3500;15/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;24-34;230;177-269
Ariadne Rushbury;Feminino;12/03/1964;60;Supervisor;Ensino Médio;TI;7000;15/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;230;177-269
Ilyssa Eusden;Feminino;18/02/1974;50;Assistente;Ensino Superior;Operações;2500;16/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;45-54;229;177-269
Willey Brunnen;Masculino;01/04/1998;26;Gerente;Ensino Superior;Recursos Humanos;15000;16/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;229;177-269
Frederich Buston;Masculino;09/12/1967;57;Supervisor;Ensino Técnico;Operações;7000;16/05/2019;04/09/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;5;9;;55-64;111;86-176
Tabbie Morgan;Masculino;24/06/1993;31;Coordenador;Ensino Superior;Marketing;10000;16/05/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;5;-;;24-34;229;177-269
Avram Schoenrock;Masculino;06/11/1994;30;Estagiário;Ensino Técnico;Produção;1200;17/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;24-34;228;177-269
Maiga Helliker;Feminino;13/02/1992;32;Supervisor;Ensino Médio;Logística;7000;17/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;228;177-269
Justinian Younglove;Masculino;17/04/1986;38;Analista Sr;Ensino Médio;Logística;5000;17/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;228;177-269
Lovell Maylor;Masculino;14/09/1993;31;Estagiário;Ensino Técnico;Operações;1200;17/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;24-34;228;177-269
Stillman Goodisson;Masculino;16/12/1995;29;Estagiário;Ensino Técnico;Operações;1200;18/05/2019;23/08/2019;Estágio;Término de Contrato;;200;200;200;200;;;800;5;8;;24-34;97;86-176
Alleen Loraine;Feminino;14/05/2000;24;Assistente;Ensino Superior;Logística;2500;18/05/2019;;CLT;;Sim;600;600;600;600;;;2400;5;-;;24-34;227;177-269
Aretha Geldard;Feminino;23/12/1973;51;Assistente;Ensino Médio;Recursos Humanos;2500;18/05/2019;;CLT;;Sim;600;600;600;600;500;;2900;5;-;;45-54;227;177-269
Vale Pentelow;Feminino;08/09/1988;36;Analista Sr;Ensino Médio;Vendas;5000;18/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;227;177-269
Zora Navarro;Feminino;24/04/1984;40;Assistente;Ensino Médio;Logística;2500;18/05/2019;01/09/2019;CLT;Demissão Involuntária;;600;600;600;600;;;2400;5;9;;35-44;106;86-176
Monika Loody;Feminino;18/02/1989;35;Coordenador;Ensino Superior;TI;10000;19/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;226;177-269
Herold Iacobo;Masculino;06/12/1970;54;Estagiário;Ensino Médio;Vendas;1200;19/05/2019;;Estágio;;;200;200;200;200;500;;1300;5;-;;45-54;226;177-269
Meagan De Laspee;Feminino;02/09/1983;41;Supervisor;Ensino Superior;Produção;7000;19/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;226;177-269
Jase Schaffel;Masculino;27/12/1975;49;Assistente;Ensino Superior;Operações;2500;19/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;45-54;226;177-269
Sheeree Murrells;Feminino;05/04/1984;40;Analista Sr;Pós-graduação;Vendas;5000;19/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;226;177-269
Emelen Linscott;Masculino;22/12/2000;24;Gerente;Ensino Técnico;Logística;15000;20/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;225;177-269
Daisie Chennells;Feminino;28/12/1972;52;Supervisor;Ensino Superior;Marketing;7000;21/05/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;5;-;Férias;45-54;224;177-269
Danica Gentiry;Feminino;13/12/1985;39;Analista Sr;Ensino Médio;Administração;5000;21/05/2019;;CLT;;Sim;600;600;600;600;;500;2900;5;-;;35-44;224;177-269
Haleigh Teas;Feminino;29/05/1994;30;Coordenador;Ensino Médio;Recursos Humanos;10000;22/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;223;177-269
Jocelin Wilfinger;Feminino;16/10/1969;55;Analista Jr;Ensino Técnico;Produção;3500;22/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;55-64;223;177-269
Russell Sappson;Masculino;18/09/1995;29;Gerente;Pós-graduação;Vendas;15000;22/05/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;5;-;;24-34;223;177-269
Brittne Tandey;Feminino;22/02/1988;36;Analista Sr;Ensino Superior;Recursos Humanos;5000;23/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;222;177-269
Marylin Pedracci;Feminino;17/02/1960;64;Gerente;Ensino Superior;Administração;15000;23/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;222;177-269
Lolly Beckhouse;Feminino;22/05/1984;40;Gerente;Pós-graduação;Recursos Humanos;15000;23/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;222;177-269
Ashton Lorking;Masculino;20/03/1974;50;Estagiário;Ensino Técnico;Recursos Humanos;1200;23/05/2019;;Estágio;;;200;200;200;200;500;;1300;5;-;;45-54;222;177-269
Francene St. Leger;Feminino;23/07/1975;49;Analista Sr;Ensino Superior;Marketing;5000;24/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;45-54;221;177-269
Kattie Sinkin;Feminino;15/08/1978;46;Gerente;Mestrado;Logística;15000;24/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;45-54;221;177-269
Tommi Cobain;Feminino;28/02/1996;28;Analista Sr;Pós-graduação;TI;5000;24/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;24-34;221;177-269
Nikolos Heart;Masculino;05/02/2000;24;Gerente;Mestrado;TI;15000;25/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;220;177-269
Carilyn Ableson;Feminino;22/07/1989;35;Analista Jr;Ensino Superior;Produção;3500;25/05/2019;;CLT;;Sim;600;600;600;600;;;2400;5;-;;35-44;220;177-269
Jacklyn Early;Feminino;10/07/1964;60;Estagiário;Ensino Médio;Operações;1200;26/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;55-64;219;177-269
Dominica Dodgshon;Feminino;24/04/1965;59;Estagiário;Ensino Técnico;Produção;1200;26/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;Férias;55-64;219;177-269
Dominique Goodwin;Masculino;21/09/1967;57;Assistente;Ensino Médio;Administração;2500;27/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;55-64;218;177-269
Linell Selbach;Feminino;23/01/1975;49;Analista Sr;Ensino Técnico;Administração;5000;27/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;45-54;218;177-269
Frazer Knutsen;Masculino;23/04/1989;35;Analista Sr;Pós-graduação;Financeiro;5000;28/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;217;177-269
Cicely Rash;Feminino;10/04/1977;47;Estagiário;Ensino Técnico;TI;1200;28/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;45-54;217;177-269
Mata Raffan;Masculino;15/12/1990;34;Supervisor;Pós-graduação;TI;7000;28/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;217;177-269
Jonathon Zum Felde;Masculino;03/07/1960;64;Analista Jr;Ensino Superior;TI;3500;28/05/2019;;CLT;;;600;600;600;600;;;2400;5;-;;55-64;217;177-269
Aldous Baldassi;Masculino;15/06/1988;36;Estagiário;Ensino Técnico;TI;1200;28/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;35-44;217;177-269
Obediah Toomey;Masculino;04/05/1985;39;Analista Sr;Ensino Médio;TI;5000;29/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;216;177-269
Antoni Keyser;Masculino;26/05/1964;60;Gerente;Pós-graduação;Financeiro;15000;29/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;55-64;216;177-269
Ilaire Dinsell;Masculino;03/03/1972;52;Estagiário;Ensino Médio;Produção;1200;30/05/2019;;Estágio;;;200;200;200;200;;;800;5;-;;45-54;215;177-269
Claudius Torrans;Masculino;26/10/1971;53;Gerente;Ensino Técnico;TI;15000;30/05/2019;15/09/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;5;9;;45-54;108;86-176
Jedediah Girvin;Masculino;17/08/1983;41;Supervisor;Ensino Médio;Vendas;7000;31/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;35-44;214;177-269
Page Hassen;Masculino;16/04/1995;29;Analista Sr;Ensino Técnico;Vendas;5000;31/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;24-34;214;177-269
Lou Byer;Feminino;12/12/1999;25;Supervisor;Pós-graduação;TI;7000;31/05/2019;;CLT;;;1200;1200;1200;1200;;500;5300;5;-;;24-34;214;177-269
Pattie Stannah;Masculino;10/03/1984;40;Analista Sr;Ensino Médio;Financeiro;5000;31/05/2019;;CLT;;;600;600;600;600;;500;2900;5;-;;35-44;214;177-269
Justinian Fortie;Masculino;26/05/1964;60;Coordenador;Pós-graduação;Recursos Humanos;10000;31/05/2019;12/08/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;5;8;;55-64;73;1-85
Guinna Dobney;Feminino;02/01/1982;42;Supervisor;Pós-graduação;Marketing;7000;01/06/2019;10/08/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;6;8;;35-44;70;1-85
Elvera Peegrem;Feminino;20/11/1971;53;Assistente;Ensino Superior;Logística;2500;01/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;;45-54;213;177-269
Tynan Philo;Masculino;20/01/1984;40;Supervisor;Pós-graduação;Recursos Humanos;7000;02/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;35-44;212;177-269
Maridel Addeycott;Feminino;26/11/1960;64;Assistente;Ensino Médio;Recursos Humanos;2500;03/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;;55-64;211;177-269
Bevvy Goodbarne;Feminino;02/04/1982;42;Gerente;Ensino Médio;Vendas;15000;03/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;35-44;211;177-269
Saudra Salack;Feminino;23/04/1975;49;Analista Sr;Ensino Técnico;TI;5000;03/06/2019;;CLT;;;600;600;600;600;;500;2900;6;-;;45-54;211;177-269
Clovis Moen;Feminino;18/08/1984;40;Analista Jr;Ensino Médio;Marketing;3500;03/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;Férias;35-44;211;177-269
Katrina Cottis;Feminino;13/12/1962;62;Estagiário;Ensino Médio;Logística;1200;03/06/2019;;Estágio;;;200;200;200;200;;;800;6;-;;55-64;211;177-269
Irvin Warne;Masculino;05/10/1962;62;Analista Sr;Ensino Médio;Recursos Humanos;5000;04/06/2019;;CLT;;;600;600;600;600;;500;2900;6;-;;55-64;210;177-269
Hewitt Gabbetis;Masculino;06/02/1978;46;Coordenador;Mestrado;Administração;10000;04/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;45-54;210;177-269
Coral Vane;Feminino;28/01/1988;36;Gerente;Ensino Médio;Financeiro;15000;05/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;Férias;35-44;209;177-269
Trina Pettican;Feminino;01/07/1984;40;Analista Sr;Ensino Técnico;Vendas;5000;05/06/2019;;CLT;;;600;600;600;600;;500;2900;6;-;;35-44;209;177-269
Karlik Blyden;Masculino;19/06/2000;24;Estagiário;Ensino Técnico;Logística;1200;05/06/2019;;Estágio;;;200;200;200;200;;;800;6;-;;24-34;209;177-269
Elicia Durnell;Feminino;01/09/1972;52;Supervisor;Pós-graduação;Vendas;7000;05/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;45-54;209;177-269
Phillip Emes;Masculino;26/04/1967;57;Analista Sr;Ensino Médio;TI;5000;06/06/2019;;CLT;;;600;600;600;600;;500;2900;6;-;;55-64;208;177-269
Ofelia Dedon;Feminino;31/07/1983;41;Gerente;Ensino Superior;Recursos Humanos;15000;07/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;35-44;207;177-269
Junette Lyste;Feminino;12/05/1960;64;Supervisor;Ensino Superior;Produção;7000;08/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;55-64;206;177-269
Velma Worsell;Feminino;12/10/1989;35;Gerente;Mestrado;Marketing;15000;09/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;35-44;205;177-269
Clevey Jupp;Masculino;07/05/1971;53;Analista Jr;Ensino Superior;Logística;3500;09/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;;45-54;205;177-269
Aretha Montier;Feminino;03/06/1962;62;Analista Jr;Ensino Médio;Produção;3500;09/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;;55-64;205;177-269
Julian Smogur;Masculino;06/08/1968;56;Coordenador;Ensino Superior;Vendas;10000;10/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;55-64;204;177-269
Erl Loudian;Masculino;01/01/1992;32;Estagiário;Ensino Técnico;Financeiro;1200;10/06/2019;;Estágio;;Sim;200;200;200;200;;;800;6;-;;24-34;204;177-269
Marlo Strase;Masculino;27/03/1998;26;Gerente;Ensino Superior;TI;15000;10/06/2019;;CLT;;;1200;1200;1200;1200;;500;5300;6;-;;24-34;204;177-269
Keefe Ottosen;Masculino;19/05/1995;29;Analista Jr;Ensino Superior;Administração;3500;10/06/2019;;CLT;;;600;600;600;600;;;2400;6;-;;24-34;204;177-269
Nessa O'Donoghue;Feminino;23/05/1980;44;Coordenador;Pós-graduação;Logística;10000;11/06/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;6;-;;35-44;203;177-269
